iter	Passed	Remaining
0	202	201944
1	216	108011
2	230	76594
3	244	60798
4	255	50882
5	266	44196
6	275	39076
7	285	35438
8	298	32869
9	308	30548
10	321	28948
11	333	27417
12	341	25915
13	351	24765
14	359	23610
15	370	22759
16	379	21958
17	388	21201
18	401	20742
19	413	20271
20	425	19813
21	436	19400
22	447	19017
23	455	18529
24	466	18187
25	475	17805
26	486	17548
27	499	17354
28	509	17072
29	518	16756
30	528	16531
31	536	16239
32	546	16012
33	555	15789
34	567	15654
35	581	15565
36	590	15369
37	602	15241
38	615	15173
39	629	15099
40	638	14945
41	649	14806
42	665	14810
43	678	14746
44	693	14717
45	706	14649
46	716	14532
47	727	14438
48	739	14354
49	750	14264
50	763	14208
51	775	14133
52	789	14100
53	800	14023
54	815	14006
55	831	14012
56	850	14071
57	866	14066
58	878	14006
59	890	13949
60	902	13885
61	913	13813
62	923	13737
63	939	13741
64	954	13735
65	963	13632
66	972	13548
67	981	13451
68	992	13386
69	1001	13303
70	1010	13216
71	1025	13217
72	1041	13223
73	1053	13183
74	1064	13128
75	1074	13067
76	1090	13074
77	1105	13072
78	1123	13103
79	1139	13106
80	1158	13143
81	1176	13169
82	1194	13195
83	1223	13341
84	1240	13356
85	1260	13400
86	1283	13471
87	1304	13523
88	1323	13546
89	1340	13556
90	1358	13573
91	1373	13559
92	1395	13607
93	1411	13606
94	1426	13588
95	1445	13615
96	1454	13540
97	1468	13512
98	1480	13478
99	1489	13402
100	1499	13344
101	1509	13291
102	1517	13219
103	1526	13151
104	1534	13079
105	1545	13032
106	1553	12961
107	1566	12937
108	1579	12912
109	1587	12844
110	1598	12799
111	1609	12759
112	1619	12713
113	1630	12669
114	1642	12636
115	1652	12592
116	1660	12535
117	1675	12523
118	1689	12508
119	1701	12476
120	1713	12445
121	1723	12405
122	1734	12365
123	1749	12359
124	1763	12344
125	1777	12326
126	1787	12285
127	1798	12252
128	1811	12233
129	1825	12215
130	1838	12193
131	1850	12171
132	1862	12141
133	1876	12125
134	1888	12098
135	1899	12065
136	1911	12040
137	1926	12033
138	1941	12025
139	1952	11995
140	1962	11958
141	1976	11943
142	1987	11913
143	2001	11896
144	2013	11869
145	2024	11839
146	2038	11829
147	2052	11817
148	2066	11802
149	2077	11772
150	2089	11749
151	2106	11753
152	2124	11758
153	2139	11753
154	2149	11719
155	2158	11677
156	2169	11648
157	2178	11607
158	2186	11566
159	2197	11536
160	2205	11492
161	2214	11456
162	2222	11413
163	2233	11386
164	2241	11344
165	2251	11310
166	2262	11283
167	2270	11245
168	2284	11234
169	2298	11222
170	2306	11180
171	2315	11147
172	2323	11107
173	2333	11078
174	2342	11044
175	2351	11007
176	2362	10983
177	2369	10944
178	2380	10918
179	2387	10878
180	2398	10853
181	2408	10826
182	2417	10791
183	2427	10766
184	2435	10728
185	2444	10699
186	2453	10666
187	2467	10657
188	2480	10642
189	2492	10624
190	2503	10603
191	2515	10585
192	2529	10578
193	2551	10599
194	2564	10586
195	2579	10581
196	2594	10576
197	2610	10575
198	2624	10563
199	2643	10575
200	2661	10578
201	2676	10572
202	2688	10557
203	2700	10536
204	2712	10519
205	2724	10501
206	2738	10491
207	2752	10481
208	2763	10459
209	2777	10448
210	2790	10434
211	2804	10425
212	2818	10414
213	2830	10396
214	2845	10388
215	2861	10384
216	2872	10363
217	2886	10352
218	2899	10339
219	2912	10324
220	2924	10309
221	2935	10288
222	2943	10256
223	2953	10230
224	2961	10200
225	2972	10180
226	2982	10156
227	2991	10129
228	3006	10123
229	3021	10115
230	3036	10108
231	3048	10090
232	3058	10068
233	3074	10065
234	3086	10047
235	3101	10039
236	3113	10023
237	3123	10000
238	3134	9981
239	3143	9953
240	3152	9928
241	3161	9901
242	3170	9876
243	3179	9851
244	3190	9832
245	3203	9820
246	3213	9795
247	3221	9767
248	3232	9748
249	3239	9718
250	3250	9698
251	3261	9680
252	3271	9660
253	3282	9642
254	3292	9619
255	3300	9591
256	3309	9569
257	3317	9541
258	3327	9520
259	3335	9493
260	3344	9470
261	3352	9443
262	3365	9431
263	3374	9408
264	3385	9389
265	3395	9369
266	3405	9348
267	3413	9324
268	3424	9306
269	3432	9280
270	3443	9262
271	3450	9235
272	3461	9217
273	3468	9190
274	3478	9171
275	3490	9157
276	3503	9144
277	3514	9128
278	3527	9115
279	3540	9105
280	3557	9101
281	3570	9090
282	3579	9069
283	3590	9052
284	3604	9041
285	3614	9024
286	3625	9008
287	3639	8996
288	3651	8983
289	3666	8976
290	3680	8966
291	3694	8958
292	3705	8942
293	3720	8935
294	3735	8926
295	3749	8917
296	3761	8903
297	3773	8889
298	3787	8879
299	3801	8870
300	3816	8863
301	3831	8855
302	3844	8844
303	3856	8829
304	3870	8819
305	3886	8813
306	3902	8810
307	3916	8798
308	3930	8788
309	3944	8779
310	3954	8761
311	3966	8747
312	3979	8735
313	3994	8725
314	4007	8714
315	4018	8698
316	4032	8688
317	4043	8672
318	4053	8653
319	4067	8644
320	4081	8633
321	4095	8623
322	4110	8616
323	4122	8600
324	4131	8580
325	4141	8562
326	4149	8539
327	4158	8520
328	4166	8497
329	4176	8479
330	4184	8456
331	4194	8440
332	4203	8419
333	4211	8398
334	4223	8384
335	4231	8362
336	4245	8352
337	4259	8342
338	4267	8320
339	4277	8303
340	4285	8281
341	4294	8262
342	4302	8241
343	4314	8226
344	4322	8206
345	4331	8186
346	4340	8168
347	4350	8150
348	4359	8131
349	4366	8109
350	4376	8092
351	4383	8069
352	4393	8052
353	4400	8031
354	4414	8020
355	4427	8009
356	4435	7989
357	4447	7975
358	4459	7961
359	4467	7943
360	4479	7928
361	4491	7916
362	4504	7904
363	4515	7890
364	4527	7877
365	4542	7868
366	4553	7853
367	4564	7838
368	4577	7828
369	4593	7821
370	4608	7813
371	4622	7804
372	4636	7794
373	4648	7781
374	4659	7766
375	4671	7752
376	4680	7734
377	4691	7719
378	4706	7710
379	4718	7698
380	4727	7680
381	4740	7669
382	4753	7657
383	4767	7648
384	4781	7638
385	4794	7626
386	4807	7615
387	4820	7603
388	4835	7595
389	4851	7588
390	4864	7577
391	4873	7559
392	4884	7544
393	4892	7524
394	4903	7510
395	4914	7495
396	4923	7478
397	4934	7464
398	4946	7450
399	4957	7435
400	4969	7423
401	4981	7410
402	4993	7396
403	5004	7382
404	5014	7366
405	5024	7350
406	5038	7340
407	5052	7331
408	5067	7321
409	5081	7312
410	5094	7300
411	5103	7283
412	5113	7267
413	5121	7248
414	5134	7237
415	5147	7226
416	5155	7207
417	5165	7192
418	5175	7177
419	5183	7157
420	5193	7142
421	5202	7125
422	5212	7110
423	5221	7093
424	5232	7079
425	5241	7062
426	5249	7044
427	5259	7029
428	5267	7010
429	5277	6995
430	5284	6976
431	5295	6962
432	5302	6943
433	5316	6933
434	5330	6922
435	5339	6906
436	5347	6888
437	5357	6874
438	5365	6856
439	5375	6841
440	5383	6823
441	5393	6809
442	5401	6791
443	5410	6775
444	5420	6759
445	5429	6744
446	5440	6731
447	5453	6719
448	5463	6705
449	5476	6693
450	5493	6687
451	5509	6680
452	5523	6670
453	5537	6659
454	5549	6647
455	5561	6634
456	5572	6621
457	5586	6610
458	5597	6598
459	5610	6586
460	5622	6573
461	5636	6563
462	5647	6550
463	5659	6538
464	5674	6529
465	5689	6519
466	5702	6508
467	5713	6494
468	5727	6484
469	5740	6473
470	5755	6464
471	5768	6453
472	5782	6443
473	5795	6431
474	5807	6418
475	5821	6408
476	5832	6395
477	5843	6381
478	5856	6369
479	5870	6359
480	5881	6346
481	5891	6331
482	5902	6317
483	5915	6306
484	5925	6292
485	5935	6277
486	5950	6268
487	5963	6257
488	5977	6246
489	5989	6234
490	6001	6221
491	6015	6211
492	6029	6200
493	6043	6189
494	6053	6176
495	6064	6162
496	6074	6147
497	6083	6132
498	6092	6117
499	6100	6100
500	6110	6086
501	6118	6069
502	6127	6054
503	6136	6038
504	6146	6025
505	6155	6009
506	6164	5993
507	6174	5980
508	6182	5963
509	6192	5949
510	6200	5933
511	6214	5923
512	6229	5913
513	6240	5900
514	6247	5883
515	6257	5869
516	6264	5852
517	6276	5839
518	6283	5823
519	6292	5808
520	6302	5794
521	6311	5779
522	6321	5765
523	6329	5749
524	6339	5735
525	6346	5719
526	6355	5704
527	6363	5688
528	6374	5675
529	6381	5658
530	6394	5647
531	6407	5636
532	6417	5622
533	6426	5608
534	6440	5598
535	6453	5586
536	6466	5575
537	6478	5563
538	6491	5551
539	6504	5540
540	6518	5530
541	6533	5521
542	6544	5507
543	6572	5509
544	6594	5505
545	6616	5501
546	6626	5488
547	6637	5474
548	6645	5459
549	6654	5444
550	6667	5433
551	6681	5422
552	6690	5408
553	6701	5394
554	6709	5379
555	6718	5365
556	6726	5350
557	6736	5336
558	6746	5322
559	6757	5309
560	6770	5298
561	6782	5285
562	6794	5273
563	6805	5260
564	6815	5247
565	6830	5237
566	6840	5223
567	6850	5210
568	6861	5197
569	6868	5181
570	6879	5168
571	6887	5153
572	6898	5140
573	6907	5126
574	6915	5111
575	6933	5103
576	6949	5094
577	6960	5082
578	6971	5069
579	6983	5057
580	6994	5044
581	7007	5033
582	7019	5020
583	7032	5009
584	7046	4998
585	7059	4987
586	7067	4972
587	7078	4959
588	7091	4948
589	7100	4934
590	7114	4923
591	7127	4912
592	7135	4897
593	7145	4883
594	7156	4871
595	7164	4856
596	7174	4842
597	7182	4828
598	7193	4815
599	7203	4802
600	7212	4788
601	7222	4775
602	7230	4760
603	7240	4747
604	7248	4732
605	7259	4719
606	7266	4704
607	7276	4691
608	7286	4678
609	7297	4665
610	7310	4654
611	7321	4641
612	7329	4627
613	7340	4614
614	7348	4600
615	7359	4587
616	7368	4573
617	7376	4559
618	7386	4546
619	7394	4531
620	7403	4518
621	7411	4504
622	7422	4491
623	7436	4480
624	7446	4467
625	7459	4456
626	7476	4447
627	7492	4438
628	7506	4427
629	7520	4416
630	7535	4406
631	7548	4395
632	7558	4382
633	7570	4370
634	7583	4358
635	7594	4346
636	7604	4333
637	7616	4321
638	7629	4310
639	7640	4297
640	7657	4288
641	7672	4278
642	7685	4267
643	7699	4256
644	7714	4245
645	7727	4234
646	7741	4223
647	7755	4212
648	7767	4201
649	7780	4189
650	7794	4178
651	7806	4166
652	7819	4155
653	7834	4144
654	7848	4133
655	7860	4121
656	7869	4108
657	7881	4096
658	7894	4085
659	7907	4073
660	7919	4061
661	7934	4050
662	7946	4039
663	7958	4027
664	7968	4014
665	7983	4003
666	7996	3992
667	8014	3983
668	8028	3972
669	8036	3958
670	8046	3945
671	8055	3932
672	8063	3918
